 

stn;time;fhh010mx
GVE;201303;9.8
GVE;201304;11.6
GVE;201305;9.2
GVE;201306;9.1
GVE;201307;7.3
GVE;201308;8.8
GVE;201309;8.5
GVE;201310;8.5
GVE;201311;11.8
GVE;201312;11.3
GVE;201401;8.1
GVE;201402;14.3
GVE;201403;8.4
GVE;201404;9.8
GVE;201405;11.5
GVE;201406;8.9
GVE;201407;7.7
GVE;201408;10.8
GVE;201409;9.3
GVE;201410;8.0
GVE;201411;7.3
GVE;201412;13.0
GVE;201501;10.6
GVE;201502;11.4
GVE;201503;11.7
GVE;201504;12.4
GVE;201505;10.3
GVE;201506;8.2
GVE;201507;9.5
GVE;201508;8.5
GVE;201509;10.4
GVE;201510;7.1
GVE;201511;10.5
GVE;201512;6.8
GVE;201601;10.3
GVE;201602;10.6
GVE;201603;11.7
GVE;201604;8.4
GVE;201605;9.0
GVE;201606;8.9
GVE;201607;9.0
GVE;201608;7.3
GVE;201609;8.7
GVE;201610;-
GVE;201611;8.9
GVE;201612;7.9
GVE;201701;13.6
GVE;201702;12.5
GVE;201703;12.3
GVE;201704;10.2
GVE;201705;9.0
GVE;201706;10.1
GVE;201707;9.7
GVE;201708;7.9
GVE;201709;11.8
GVE;201710;10.0
GVE;201711;11.2
GVE;201712;14.4
GVE;201801;12.0
GVE;201802;12.7
GVE;201803;11.3
GVE;201804;11.5
GVE;201805;8.3
GVE;201806;10.3
GVE;201807;7.9
GVE;201808;7.5
GVE;201809;11.0
GVE;201810;8.7
GVE;201811;8.3
GVE;201812;11.1
GVE;201901;11.6
GVE;201902;11.5
GVE;201903;10.9
GVE;201904;-
GVE;201905;12.6
GVE;201906;10.0
GVE;201907;10.0
GVE;201908;9.0
GVE;201909;8.8
GVE;201910;-
GVE;201911;10.2
GVE;201912;9.9
GVE;202001;11.2
GVE;202002;12.0
GVE;202003;9.5
GVE;202004;9.9
GVE;202005;10.0
GVE;202006;8.4
GVE;202007;8.4
GVE;202008;7.5
GVE;202009;8.7
GVE;202010;9.8
GVE;202011;7.9
GVE;202012;11.2
GVE;202101;8.9
GVE;202102;9.7
GVE;202103;11.8
GVE;202104;11.2
GVE;202105;11.3
GVE;202106;7.7
GVE;202107;9.4
GVE;202108;7.2
GVE;202109;6.7
GVE;202110;11.4
GVE;202111;9.1
GVE;202112;8.4
GVE;202201;12.1
GVE;202202;9.4
GVE;202203;7.8
GVE;202204;11.1
GVE;202205;-
GVE;202206;-
GVE;202207;9.7
GVE;202208;8.3
GVE;202209;10.0
GVE;202210;7.5
GVE;202211;7.6
GVE;202212;8.6
GVE;202301;12.3

stn;time;fhh010mx
CDF;200402;10.3
CDF;200403;9.4
CDF;200404;9.4
CDF;200405;7.6
CDF;200406;8.5
CDF;200407;8.7
CDF;200408;7.1
CDF;200409;7.9
CDF;200410;7.9
CDF;200411;10.5
CDF;200412;9.5
CDF;200501;10.3
CDF;200502;10.3
CDF;200503;8.5
CDF;200504;11.0
CDF;200505;7.7
CDF;200506;8.1
CDF;200507;7.6
CDF;200508;7.0
CDF;200509;7.9
CDF;200510;7.5
CDF;200511;10.2
CDF;200512;8.5
CDF;200601;7.0
CDF;200602;8.5
CDF;200603;8.9
CDF;200604;6.6
CDF;200605;9.0
CDF;200606;6.7
CDF;200607;7.0
CDF;200608;6.9
CDF;200609;7.0
CDF;200610;9.7
CDF;200611;9.0
CDF;200612;8.8
CDF;200701;10.6
CDF;200702;9.4
CDF;200703;8.8
CDF;200704;8.1
CDF;200705;7.8
CDF;200706;7.8
CDF;200707;6.9
CDF;200708;7.4
CDF;200709;6.4
CDF;200710;9.0
CDF;200711;6.9
CDF;200712;10.2
CDF;200801;8.3
CDF;200802;8.4
CDF;200803;11.9
CDF;200804;7.3
CDF;200805;7.1
CDF;200806;5.7
CDF;200807;6.7
CDF;200808;7.1
CDF;200809;7.8
CDF;200810;7.5
CDF;200811;9.3
CDF;200812;9.5
CDF;200901;12.1
CDF;200902;11.9
CDF;200903;8.8
CDF;200904;-
CDF;200905;6.9
CDF;200906;7.8
CDF;200907;6.9
CDF;200908;6.0
CDF;200909;9.6
CDF;200910;7.3
CDF;200911;8.4
CDF;200912;8.8
CDF;201001;6.7
CDF;201002;10.2
CDF;201003;10.7
CDF;201004;8.2
CDF;201005;9.4
CDF;201006;6.6
CDF;201007;5.9
CDF;201008;7.9
CDF;201009;7.9
CDF;201010;8.2
CDF;201011;8.4
CDF;201012;8.7
CDF;201101;9.2
CDF;201102;6.2
CDF;201103;8.4
CDF;201104;7.3
CDF;201105;6.2
CDF;201106;7.7
CDF;201107;5.7
CDF;201108;8.9
CDF;201109;7.2
CDF;201110;6.2
CDF;201111;5.6
CDF;201112;10.8
CDF;201201;10.3
CDF;201202;8.2
CDF;201203;7.3
CDF;201204;9.5
CDF;201205;8.4
CDF;201206;8.2
CDF;201207;7.9
CDF;201208;6.0
CDF;201209;8.1
CDF;201210;9.2
CDF;201211;8.8
CDF;201212;8.7
CDF;201301;7.2
CDF;201302;9.0
CDF;201303;7.2
CDF;201304;7.3
CDF;201305;7.6
CDF;201306;7.2
CDF;201307;6.1
CDF;201308;6.4
CDF;201309;7.3
CDF;201310;9.7
CDF;201311;9.6
CDF;201312;10.6
CDF;201401;7.8
CDF;201402;10.6
CDF;201403;7.7
CDF;201404;7.9
CDF;201405;9.1
CDF;201406;7.5
CDF;201407;7.6
CDF;201408;9.0
CDF;201409;6.9
CDF;201410;9.1
CDF;201411;9.5
CDF;201412;7.7
CDF;201501;9.2
CDF;201502;10.0
CDF;201503;10.6
CDF;201504;7.7
CDF;201505;8.4
CDF;201506;6.1
CDF;201507;7.6
CDF;201508;7.7
CDF;201509;10.1
CDF;201510;5.6
CDF;201511;10.4
CDF;201512;7.8
CDF;201601;9.2
CDF;201602;11.9
CDF;201603;8.0
CDF;201604;8.2
CDF;201605;7.6
CDF;201606;7.7
CDF;201607;5.9
CDF;201608;6.7
CDF;201609;6.8
CDF;201610;8.2
CDF;201611;10.0
CDF;201612;6.2
CDF;201701;-
CDF;201702;11.0
CDF;201703;8.5
CDF;201704;7.6
CDF;201705;5.8
CDF;201706;7.1
CDF;201707;7.2
CDF;201708;7.1
CDF;201709;7.5
CDF;201710;6.9
CDF;201711;8.4
CDF;201712;9.8
CDF;201801;11.1
CDF;201802;10.4
CDF;201803;7.2
